layer_index,item_index,image_word,condition,pass,probability_congruent
0,0,library,congruent,✅,0.5034565206599874
0,0,refrigerator,congruent,✅,0.5201047372082206
0,0,library,incongruent,❌,0.5151479398151294
0,0,refrigerator,incongruent,❌,0.5017913117904557
0,1,disappointment,congruent,✅,0.5364961000595159
0,1,delight,congruent,✅,0.5061342323333115
0,1,disappointment,incongruent,❌,0.5184146344919892
0,1,delight,incongruent,❌,0.5255602985478698
0,10,cash,congruent,❌,0.46806028995034693
0,10,groceries,congruent,✅,0.5274981170961712
0,10,cash,incongruent,❌,0.5254834027469961
0,10,groceries,incongruent,✅,0.4710517389838125
0,11,lonely,congruent,❌,0.4881188920877313
0,11,confident,congruent,✅,0.5359008378945597
0,11,lonely,incongruent,❌,0.5335130423280623
0,11,confident,incongruent,✅,0.48806617439389505
0,12,joy,congruent,✅,0.5062860515255866
0,12,outrage,congruent,✅,0.5429021225229236
0,12,joy,incongruent,❌,0.542661828818727
0,12,outrage,incongruent,✅,0.49953951786145895
0,13,traffic,congruent,✅,0.5746540037325553
0,13,snowstorm,congruent,✅,0.5411472400265511
0,13,traffic,incongruent,❌,0.5455219363350465
0,13,snowstorm,incongruent,❌,0.5729946575141502
0,14,laughter,congruent,❌,0.48989074444451414
0,14,frustration,congruent,❌,0.48190912245320133
0,14,laughter,incongruent,✅,0.48651090753598264
0,14,frustration,incongruent,✅,0.48556031445912184
0,15,calculator,congruent,❌,0.46182699994314064
0,15,instrument,congruent,✅,0.5029519156992582
0,15,calculator,incongruent,✅,0.48597223318714555
0,15,instrument,incongruent,✅,0.4546808857676781
0,16,orchestra,congruent,✅,0.5561341567023969
0,16,racers,congruent,✅,0.5146088188020876
0,16,orchestra,incongruent,❌,0.5072765817765797
0,16,racers,incongruent,❌,0.5682280284428726
0,17,retirement,congruent,✅,0.6130371999571665
0,17,playdate,congruent,❌,0.4702805218610858
0,17,retirement,incongruent,✅,0.4866970470778533
0,17,playdate,incongruent,❌,0.5992314115393884
0,18,relieved,congruent,❌,0.4767279266848057
0,18,depressed,congruent,❌,0.43783229266466783
0,18,relieved,incongruent,✅,0.45465842432865605
0,18,depressed,incongruent,✅,0.460017563411026
0,19,friends,congruent,✅,0.5355400121944984
0,19,weight,congruent,❌,0.4942732733837836
0,19,friends,incongruent,✅,0.48641988717764234
0,19,weight,incongruent,❌,0.5342919546157852
0,2,overcoat,congruent,✅,0.5560226361667145
0,2,sandals,congruent,❌,0.49034728423050117
0,2,overcoat,incongruent,✅,0.4885731289944228
0,2,sandals,incongruent,❌,0.5569662266318403
0,20,lipstick,congruent,❌,0.4806124768789802
0,20,song,congruent,✅,0.5473235353009541
0,20,lipstick,incongruent,❌,0.5554345766379586
0,20,song,incongruent,✅,0.4613648944139347
0,21,fought,congruent,❌,0.4312398060577651
0,21,sang,congruent,❌,0.4118852941766432
0,21,fought,incongruent,✅,0.40256549424116156
0,21,sang,incongruent,✅,0.4284848856547393
0,22,skeptical,congruent,❌,0.4241964682124454
0,22,reassured,congruent,✅,0.5083069440756265
0,22,skeptical,incongruent,❌,0.5070703945754484
0,22,reassured,incongruent,✅,0.406518689842835
0,23,graduation,congruent,✅,0.511450602833782
0,23,operation,congruent,❌,0.470350789276925
0,23,graduation,incongruent,✅,0.4691188660307577
0,23,operation,incongruent,❌,0.5103118210220685
0,24,bride,congruent,❌,0.4809943153032437
0,24,aftermath,congruent,❌,0.44640858753596446
0,24,bride,incongruent,✅,0.4481845591011558
0,24,aftermath,incongruent,✅,0.47119073229819725
0,25,teacher,congruent,❌,0.477531405476783
0,25,daughter,congruent,❌,0.4709291616448842
0,25,teacher,incongruent,✅,0.4671233538431224
0,25,daughter,incongruent,✅,0.47771428488307144
0,26,roommate,congruent,❌,0.4639941700129202
0,26,grandma,congruent,✅,0.546570331387166
0,26,roommate,incongruent,❌,0.5376662774871988
0,26,grandma,incongruent,✅,0.4688615909765662
0,27,brother,congruent,❌,0.47949039018937323
0,27,mother,congruent,✅,0.5406533628947331
0,27,brother,incongruent,❌,0.5439331355512261
0,27,mother,incongruent,✅,0.47722722337853185
0,28,preschool,congruent,✅,0.5272055309048898
0,28,prison,congruent,✅,0.5274985563825354
0,28,preschool,incongruent,❌,0.5338714540414683
0,28,prison,incongruent,❌,0.5027536641935402
0,29,hopeful,congruent,✅,0.5622394339393926
0,29,hopeless,congruent,✅,0.5360199450803268
0,29,hopeful,incongruent,❌,0.52937116254946
0,29,hopeless,incongruent,❌,0.5646833211263929
0,3,marathon,congruent,✅,0.5142647507352365
0,3,exam,congruent,✅,0.5290116882509326
0,3,marathon,incongruent,❌,0.5243651527362402
0,3,exam,incongruent,❌,0.5027613332194473
0,30,appalled,congruent,❌,0.4796991523642695
0,30,overjoyed,congruent,❌,0.48821546257937776
0,30,appalled,incongruent,✅,0.48537710466628425
0,30,overjoyed,incongruent,✅,0.47885681508467565
0,31,reprimand,congruent,❌,0.4040684572123284
0,31,encouragement,congruent,❌,0.4648995218458653
0,31,reprimand,incongruent,✅,0.4721424418151712
0,31,encouragement,incongruent,✅,0.3986723664227412
0,32,angrily,congruent,❌,0.4858372720144354
0,32,cordially,congruent,❌,0.4876702694300579
0,32,angrily,incongruent,✅,0.4855510668544246
0,32,cordially,incongruent,✅,0.4810035402125132
0,33,accusatory,congruent,✅,0.504563430148113
0,33,flirtatious,congruent,❌,0.4306086097261249
0,33,accusatory,incongruent,✅,0.44216036006701953
0,33,flirtatious,incongruent,❌,0.5092619218506669
0,34,disapprovingly,congruent,✅,0.5239335574496357
0,34,lovingly,congruent,❌,0.4963282250206751
0,34,disapprovingly,incongruent,✅,0.4876725435283214
0,34,lovingly,incongruent,❌,0.5259358022786681
0,35,playful,congruent,✅,0.5384206158398491
0,35,distant,congruent,✅,0.5126161830347983
0,35,playful,incongruent,❌,0.5114603513306335
0,35,distant,incongruent,❌,0.5347279187028238
0,36,headphones,congruent,✅,0.5628921705113968
0,36,mangoes,congruent,❌,0.4594635747619607
0,36,headphones,incongruent,✅,0.4539442897507496
0,36,mangoes,incongruent,❌,0.572795901408895
0,37,playroom,congruent,❌,0.49213865919269884
0,37,park,congruent,✅,0.5025667286816189
0,37,playroom,incongruent,✅,0.4931424618942622
0,37,park,incongruent,✅,0.49836633549726767
0,38,bedroom,congruent,✅,0.5417862688232403
0,38,backyard,congruent,✅,0.5486167301987115
0,38,bedroom,incongruent,❌,0.5483885397807539
0,38,backyard,incongruent,❌,0.5453417622479624
0,39,solemnly,congruent,❌,0.4319129384374073
0,39,excitedly,congruent,❌,0.4712392047955008
0,39,solemnly,incongruent,✅,0.47203193987755054
0,39,excitedly,incongruent,✅,0.44699505883535595
0,4,menu,congruent,✅,0.507990383496884
0,4,prescription,congruent,✅,0.5175186222846682
0,4,menu,incongruent,❌,0.5187155679150909
0,4,prescription,incongruent,✅,0.4996786995745354
0,40,car,congruent,❌,0.4986385631595625
0,40,sock,congruent,✅,0.5069021986396249
0,40,car,incongruent,❌,0.5023547444867124
0,40,sock,incongruent,✅,0.49317341554748956
0,41,overdressed,congruent,✅,0.5923712890018523
0,41,naked,congruent,✅,0.5256104805054798
0,41,overdressed,incongruent,❌,0.5339906960798371
0,41,naked,incongruent,❌,0.5908868175634309
0,42,shy,congruent,❌,0.4642182740174591
0,42,lively,congruent,❌,0.450213728062568
0,42,shy,incongruent,✅,0.44275254829879035
0,42,lively,incongruent,✅,0.4674353722842603
0,43,offended,congruent,❌,0.4516330363293811
0,43,flattered,congruent,✅,0.5185339229134951
0,43,offended,incongruent,❌,0.5351942192437542
0,43,flattered,incongruent,✅,0.44484387111483314
0,44,grandkid,congruent,❌,0.49435789936600644
0,44,cellmate,congruent,✅,0.5385463818434127
0,44,grandkid,incongruent,❌,0.5413737528902983
0,44,cellmate,incongruent,✅,0.4933317341852666
0,45,promoted,congruent,✅,0.5072256378332476
0,45,fired,congruent,✅,0.5180073733129315
0,45,promoted,incongruent,❌,0.5293657832887106
0,45,fired,incongruent,✅,0.49815324024386054
0,46,shooting,congruent,✅,0.512770576595108
0,46,celebration,congruent,❌,0.4639642825561259
0,46,shooting,incongruent,✅,0.4659896073739372
0,46,celebration,incongruent,❌,0.5104530233928902
0,47,crayon,congruent,✅,0.5026227760450958
0,47,beer,congruent,✅,0.5123777198664112
0,47,crayon,incongruent,❌,0.5033356826173245
