item_index,image_word,condition,rating,max_probability,top_one_token,p1,p2,p3,p4,p5,total_probability_mass
0,library,congruent,3.96875,0.953125,4,5.555152893066406e-05,0.0018463134765625,0.03271484375,0.953125,0.0106201171875,1.0
0,refrigerator,congruent,4.0625,0.953125,4,1.780688762664795e-06,2.3126602172851562e-05,0.00142669677734375,0.953125,0.04736328125,1.0
0,library,incongruent,1.0,0.99609375,1,0.99609375,0.002471923828125,5.125999450683594e-05,3.528594970703125e-05,0.000179290771484375,1.0
0,refrigerator,incongruent,1.1171875,0.93359375,1,0.93359375,0.041015625,0.00180816650390625,0.01708984375,0.004913330078125,1.0
1,delight,congruent,4.96875,0.99609375,5,1.7415732145309448e-07,4.918547347187996e-09,2.868473529815674e-07,0.0028076171875,0.99609375,1.0
1,disappointment,congruent,4.03125,0.96875,4,6.705522537231445e-07,9.760260581970215e-07,7.2479248046875e-05,0.96875,0.029296875,1.0
1,delight,incongruent,3.953125,0.97265625,4,0.00579833984375,0.0074462890625,0.01080322265625,0.97265625,0.002410888671875,1.0
1,disappointment,incongruent,1.2578125,0.8359375,1,0.8359375,0.10009765625,0.032470703125,0.0223388671875,0.00726318359375,1.0
2,overcoat,congruent,5.0,0.98828125,5,8.754432201385498e-07,1.9063008949160576e-09,3.9577484130859375e-05,0.012451171875,0.98828125,1.0
2,sandals,congruent,5.0,1.0,5,4.1443854570388794e-08,9.640643838793039e-11,2.6775524020195007e-08,6.973743438720703e-06,1.0,1.0
2,overcoat,incongruent,1.0,1.0,1,1.0,0.000179290771484375,1.0132789611816406e-05,1.6391277313232422e-07,3.9637088775634766e-06,1.0
2,sandals,incongruent,1.0,1.0,1,1.0,2.1457672119140625e-05,3.9301812648773193e-07,8.672941476106644e-09,1.7583370208740234e-06,1.0
3,exam,congruent,4.78125,0.796875,5,1.8030405044555664e-06,1.4808028936386108e-07,0.00011157989501953125,0.2021484375,0.796875,1.0
3,marathon,congruent,4.28125,0.69921875,4,0.00049591064453125,0.000720977783203125,0.00994873046875,0.69921875,0.291015625,1.0
3,exam,incongruent,2.28125,0.50390625,1,0.50390625,0.09912109375,0.06787109375,0.26953125,0.06005859375,1.0
3,marathon,incongruent,2.53125,0.34375,1,0.34375,0.236328125,0.041015625,0.302734375,0.07666015625,1.0
4,menu,congruent,4.03125,0.91796875,4,0.00014591217041015625,0.000396728515625,0.0216064453125,0.91796875,0.058837890625,1.0
4,prescription,congruent,4.125,0.87890625,4,1.0073184967041016e-05,2.5480985641479492e-06,0.001495361328125,0.87890625,0.119140625,1.0
4,menu,incongruent,2.28125,0.546875,1,0.546875,0.044921875,0.083984375,0.228515625,0.09521484375,1.0
4,prescription,incongruent,3.984375,0.9453125,4,0.000408172607421875,0.0014190673828125,0.032470703125,0.9453125,0.0196533203125,1.0
5,distress,congruent,5.0,1.0,5,1.0570511221885681e-07,3.1650415621697903e-10,2.1047890186309814e-07,2.4318695068359375e-05,1.0,1.0
5,tranquility,congruent,5.0,1.0,5,7.188646122813225e-09,9.958966984413564e-11,4.98257577419281e-08,0.000911712646484375,1.0,1.0
5,distress,incongruent,1.0,1.0,1,1.0,7.486343383789062e-05,2.1457672119140625e-05,1.0058283805847168e-06,0.00020313262939453125,1.0
5,tranquility,incongruent,3.9375,0.8671875,4,0.0179443359375,0.026123046875,0.026123046875,0.8671875,0.06298828125,1.0
6,patients,congruent,4.40625,0.59375,4,2.372264862060547e-05,1.259148120880127e-06,0.0006103515625,0.59375,0.40625,1.0
6,students,congruent,4.0,0.91796875,4,0.000652313232421875,0.0029296875,0.031494140625,0.91796875,0.045654296875,1.0
6,patients,incongruent,3.734375,0.77734375,4,0.08203125,0.0301513671875,0.03857421875,0.77734375,0.072265625,1.0
6,students,incongruent,1.546875,0.78515625,1,0.78515625,0.064453125,0.016357421875,0.0830078125,0.05029296875,1.0
7,consensus,congruent,4.53125,0.53125,5,1.0477378964424133e-07,8.791685104370117e-07,6.532669067382812e-05,0.46875,0.53125,1.0
7,deadlock,congruent,4.1875,0.7890625,4,0.00016021728515625,0.00092315673828125,0.0126953125,0.7890625,0.19921875,1.0
7,consensus,incongruent,2.875,0.64453125,3,0.09912109375,0.09912109375,0.64453125,0.1435546875,0.01336669921875,1.0
