seed,max_accuracy
0,0.51875
1,0.55625
2,0.559375
3,0.553125
4,0.54375
5,0.50625
6,0.546875
7,0.515625
8,0.575
9,0.575
10,0.565625
11,0.55625
12,0.56875
13,0.565625
14,0.5375
15,0.55625
16,0.521875
17,0.540625
18,0.546875
19,0.534375
20,0.58125
21,0.54375
22,0.54375
23,0.56875
24,0.5375
25,0.5125
26,0.525
27,0.534375
28,0.540625
29,0.521875
30,0.509375
31,0.55625
32,0.575
33,0.53125
34,0.53125
35,0.546875
36,0.546875
37,0.565625
38,0.584375
39,0.528125
40,0.534375
41,0.584375
42,0.521875
43,0.5375
44,0.553125
45,0.553125
46,0.58125
47,0.521875
48,0.51875
49,0.534375
50,0.525
51,0.546875
52,0.58125
53,0.5375
54,0.559375
55,0.521875
56,0.55625
57,0.515625
58,0.54375
59,0.525
60,0.50625
61,0.54375
62,0.525
63,0.5375
64,0.553125
65,0.509375
66,0.540625
67,0.546875
68,0.584375
69,0.6
70,0.53125
71,0.54375
72,0.540625
73,0.546875
74,0.553125
75,0.553125
76,0.55
77,0.515625
78,0.55625
79,0.521875
80,0.484375
81,0.515625
82,0.521875
83,0.525
84,0.525
85,0.578125
86,0.5
87,0.565625
88,0.5125
89,0.546875
90,0.534375
91,0.575
92,0.515625
93,0.553125
94,0.55
95,0.51875
96,0.53125
97,0.50625
98,0.509375
99,0.546875
100,0.55625
101,0.56875
102,0.521875
103,0.58125
104,0.528125
105,0.546875
106,0.540625
107,0.55
108,0.5875
109,0.5375
110,0.58125
111,0.490625
112,0.51875
113,0.540625
114,0.5875
115,0.528125
116,0.515625
117,0.50625
118,0.53125
119,0.525
120,0.528125
121,0.565625
122,0.5375
123,0.5125
124,0.55625
125,0.51875
126,0.540625
127,0.53125
128,0.534375
129,0.51875
130,0.565625
131,0.546875
132,0.559375
133,0.5625
134,0.53125
135,0.528125
136,0.559375
137,0.515625
138,0.54375
139,0.584375
140,0.55625
141,0.53125
142,0.5875
143,0.528125
144,0.53125
145,0.53125
146,0.575
147,0.56875
148,0.55
149,0.565625
150,0.521875
151,0.56875
152,0.628125
153,0.553125
154,0.521875
155,0.571875
156,0.553125
157,0.5375
158,0.5125
159,0.553125
