seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
0,0,0.49375,0.5125,0.475
0,1,0.490625,0.43125,0.55
0,2,0.4625,0.48125,0.44375
0,3,0.49375,0.51875,0.46875
0,4,0.45,0.4875,0.4125
0,5,0.475,0.5125,0.4375
0,6,0.471875,0.44375,0.5
0,7,0.48125,0.4875,0.475
0,8,0.465625,0.44375,0.4875
0,9,0.45,0.45,0.45
0,10,0.4625,0.425,0.5
0,11,0.446875,0.425,0.46875
0,12,0.46875,0.475,0.4625
0,13,0.446875,0.4625,0.43125
0,14,0.440625,0.4,0.48125
0,15,0.478125,0.45625,0.5
0,16,0.4875,0.46875,0.50625
0,17,0.5,0.49375,0.50625
0,18,0.465625,0.4875,0.44375
0,19,0.471875,0.4875,0.45625
0,20,0.45625,0.4375,0.475
0,21,0.475,0.45,0.5
0,22,0.49375,0.46875,0.51875
0,23,0.490625,0.4375,0.54375
1,0,0.509375,0.51875,0.5
1,1,0.50625,0.48125,0.53125
1,2,0.51875,0.54375,0.49375
1,3,0.521875,0.5,0.54375
1,4,0.525,0.53125,0.51875
1,5,0.521875,0.51875,0.525
1,6,0.53125,0.53125,0.53125
1,7,0.515625,0.51875,0.5125
1,8,0.490625,0.475,0.50625
1,9,0.49375,0.53125,0.45625
1,10,0.46875,0.475,0.4625
1,11,0.490625,0.51875,0.4625
1,12,0.49375,0.49375,0.49375
1,13,0.4875,0.5,0.475
1,14,0.5125,0.5375,0.4875
1,15,0.4875,0.4875,0.4875
1,16,0.5125,0.53125,0.49375
1,17,0.503125,0.49375,0.5125
1,18,0.484375,0.475,0.49375
1,19,0.465625,0.4625,0.46875
1,20,0.46875,0.475,0.4625
1,21,0.45,0.45625,0.44375
1,22,0.471875,0.48125,0.4625
1,23,0.496875,0.5,0.49375
2,0,0.5,0.5125,0.4875
2,1,0.50625,0.53125,0.48125
2,2,0.5125,0.46875,0.55625
2,3,0.4875,0.475,0.5
2,4,0.50625,0.5,0.5125
2,5,0.5125,0.48125,0.54375
2,6,0.49375,0.475,0.5125
2,7,0.5375,0.55625,0.51875
2,8,0.540625,0.5375,0.54375
2,9,0.5,0.46875,0.53125
2,10,0.528125,0.4875,0.56875
2,11,0.509375,0.51875,0.5
2,12,0.528125,0.55625,0.5
2,13,0.471875,0.46875,0.475
2,14,0.509375,0.51875,0.5
2,15,0.475,0.49375,0.45625
2,16,0.515625,0.525,0.50625
2,17,0.50625,0.53125,0.48125
2,18,0.4875,0.5,0.475
2,19,0.465625,0.46875,0.4625
2,20,0.471875,0.46875,0.475
2,21,0.4875,0.5,0.475
2,22,0.478125,0.5,0.45625
2,23,0.475,0.5375,0.4125
3,0,0.5,0.51875,0.48125
3,1,0.509375,0.53125,0.4875
3,2,0.5125,0.51875,0.50625
3,3,0.5,0.51875,0.48125
3,4,0.5125,0.5125,0.5125
3,5,0.4625,0.46875,0.45625
3,6,0.48125,0.48125,0.48125
3,7,0.471875,0.49375,0.45
3,8,0.478125,0.475,0.48125
3,9,0.496875,0.4875,0.50625
3,10,0.50625,0.49375,0.51875
3,11,0.471875,0.49375,0.45
3,12,0.49375,0.5125,0.475
3,13,0.490625,0.46875,0.5125
3,14,0.521875,0.53125,0.5125
3,15,0.528125,0.5375,0.51875
3,16,0.496875,0.51875,0.475
3,17,0.521875,0.55625,0.4875
3,18,0.471875,0.5,0.44375
3,19,0.496875,0.5125,0.48125
3,20,0.478125,0.4625,0.49375
3,21,0.478125,0.475,0.48125
3,22,0.465625,0.44375,0.4875
3,23,0.478125,0.46875,0.4875
4,0,0.5,0.46875,0.53125
4,1,0.503125,0.51875,0.4875
4,2,0.534375,0.5,0.56875
4,3,0.5125,0.50625,0.51875
4,4,0.534375,0.53125,0.5375
4,5,0.478125,0.50625,0.45
4,6,0.528125,0.51875,0.5375
4,7,0.53125,0.58125,0.48125
4,8,0.50625,0.51875,0.49375
4,9,0.4875,0.4875,0.4875
4,10,0.515625,0.4875,0.54375
4,11,0.48125,0.45625,0.50625
4,12,0.525,0.51875,0.53125
4,13,0.50625,0.50625,0.50625
4,14,0.50625,0.53125,0.48125
4,15,0.528125,0.53125,0.525
4,16,0.49375,0.525,0.4625
4,17,0.475,0.48125,0.46875
4,18,0.4625,0.51875,0.40625
4,19,0.48125,0.5375,0.425
4,20,0.490625,0.53125,0.45
4,21,0.475,0.5,0.45
4,22,0.490625,0.51875,0.4625
4,23,0.465625,0.50625,0.425
5,0,0.509375,0.5125,0.50625
5,1,0.5125,0.54375,0.48125
5,2,0.50625,0.5,0.5125
5,3,0.478125,0.49375,0.4625
5,4,0.509375,0.46875,0.55
5,5,0.484375,0.475,0.49375
5,6,0.478125,0.5,0.45625
5,7,0.503125,0.55,0.45625
5,8,0.48125,0.475,0.4875
5,9,0.515625,0.5,0.53125
