layer_index,item_index,image_word,condition,pass,probability_congruent
0,0,library,congruent,❌,0.425373461518929
0,0,refrigerator,congruent,❌,0.42733485177961267
0,0,library,incongruent,✅,0.24993678434112945
0,0,refrigerator,incongruent,✅,0.32648108068983017
0,1,disappointment,congruent,✅,0.7175415536627726
0,1,delight,congruent,❌,0.2608464467796445
0,1,disappointment,incongruent,✅,0.23318367762129816
0,1,delight,incongruent,❌,0.7672663909654672
0,10,cash,congruent,✅,0.7957338790618302
0,10,groceries,congruent,✅,0.6813098669178951
0,10,cash,incongruent,❌,0.5881485201329074
0,10,groceries,incongruent,✅,0.3810542821956721
0,11,lonely,congruent,❌,0.4476034210833443
0,11,confident,congruent,✅,0.5859809309393919
0,11,lonely,incongruent,❌,0.5370088020453645
0,11,confident,incongruent,✅,0.3638637534702017
0,12,joy,congruent,✅,0.799259461981274
0,12,outrage,congruent,✅,0.5782132286975538
0,12,joy,incongruent,❌,0.7207532718043668
0,12,outrage,incongruent,✅,0.49704143243032983
0,13,traffic,congruent,✅,0.9163759045519376
0,13,snowstorm,congruent,✅,0.7319335702580164
0,13,traffic,incongruent,❌,0.5535672089622098
0,13,snowstorm,incongruent,❌,0.9109891837036024
0,14,laughter,congruent,✅,0.6006055673597964
0,14,frustration,congruent,❌,0.37833832808571183
0,14,laughter,incongruent,✅,0.35422166042971115
0,14,frustration,incongruent,❌,0.5524344547550897
0,15,calculator,congruent,✅,0.5462855900254768
0,15,instrument,congruent,✅,0.6647002470530352
0,15,calculator,incongruent,✅,0.2955216074434484
0,15,instrument,incongruent,✅,0.3935719345964361
0,16,orchestra,congruent,✅,0.8675353452404136
0,16,racers,congruent,❌,0.4761207322602035
0,16,orchestra,incongruent,✅,0.3938342075375465
0,16,racers,incongruent,❌,0.8153921901094058
0,17,retirement,congruent,❌,0.37610378592408733
0,17,playdate,congruent,❌,0.26259304091763497
0,17,retirement,incongruent,✅,0.26692917756135814
0,17,playdate,incongruent,✅,0.31164528924400625
0,18,relieved,congruent,✅,0.5822111039406591
0,18,depressed,congruent,❌,0.41313727910838055
0,18,relieved,incongruent,✅,0.4445651455368951
0,18,depressed,incongruent,❌,0.6108820356244239
0,19,friends,congruent,❌,0.4089361939283671
0,19,weight,congruent,✅,0.564445112117027
0,19,friends,incongruent,✅,0.41045495122318054
0,19,weight,incongruent,❌,0.539454139772017
0,2,overcoat,congruent,❌,0.3876311272615429
0,2,sandals,congruent,❌,0.4777993943379369
0,2,overcoat,incongruent,✅,0.4086644266175066
0,2,sandals,incongruent,✅,0.3191566652877736
0,20,lipstick,congruent,✅,0.6318689394720345
0,20,song,congruent,✅,0.7954836338190893
0,20,lipstick,incongruent,✅,0.1160362000643808
0,20,song,incongruent,✅,0.25555236925725056
0,21,fought,congruent,❌,0.04207144193707059
0,21,sang,congruent,✅,0.5853324286048608
0,21,fought,incongruent,✅,0.22624111558515209
0,21,sang,incongruent,✅,0.037231562475796745
0,22,skeptical,congruent,❌,0.283342823878066
0,22,reassured,congruent,❌,0.4033692228960158
0,22,skeptical,incongruent,✅,0.4004629649107614
0,22,reassured,incongruent,✅,0.32471868348700633
0,23,graduation,congruent,✅,0.7161923584718664
0,23,operation,congruent,✅,0.6395057418451026
0,23,graduation,incongruent,✅,0.45329901937315414
0,23,operation,incongruent,✅,0.3629303588755056
0,24,bride,congruent,✅,0.6339185373328623
0,24,aftermath,congruent,✅,0.85891628026517
0,24,bride,incongruent,✅,0.2714236396591836
0,24,aftermath,incongruent,✅,0.2157911309001267
0,25,teacher,congruent,❌,0.2618957444235717
0,25,daughter,congruent,✅,0.6202718776949584
0,25,teacher,incongruent,❌,0.5052299481454572
0,25,daughter,incongruent,✅,0.23176163070177086
0,26,roommate,congruent,✅,0.7833990902311038
0,26,grandma,congruent,✅,0.726620599431477
0,26,roommate,incongruent,❌,0.537992613879723
0,26,grandma,incongruent,❌,0.6848063195606753
0,27,brother,congruent,✅,0.651028720949139
0,27,mother,congruent,✅,0.5876767778097112
0,27,brother,incongruent,✅,0.28497982677941663
0,27,mother,incongruent,❌,0.595336837169929
0,28,preschool,congruent,✅,0.7253494147069283
0,28,prison,congruent,✅,0.603916600421084
0,28,preschool,incongruent,✅,0.25364931658247497
0,28,prison,incongruent,✅,0.4852699965258084
0,29,hopeful,congruent,❌,0.495068559709008
0,29,hopeless,congruent,✅,0.6587826280401945
0,29,hopeful,incongruent,✅,0.44482839996546325
0,29,hopeless,incongruent,❌,0.5059963038194472
0,3,marathon,congruent,✅,0.8534161954529859
0,3,exam,congruent,✅,0.8291627858287977
0,3,marathon,incongruent,❌,0.5548185320677392
0,3,exam,incongruent,❌,0.51323148082828
0,30,appalled,congruent,❌,0.38506705424764087
0,30,overjoyed,congruent,❌,0.47333314774902496
0,30,appalled,incongruent,✅,0.46200809707011914
0,30,overjoyed,incongruent,✅,0.3887395149297225
0,31,reprimand,congruent,❌,0.4640922992753151
0,31,encouragement,congruent,✅,0.6183514853193446
0,31,reprimand,incongruent,❌,0.5931354397635549
0,31,encouragement,incongruent,✅,0.47525222184000326
0,32,angrily,congruent,❌,0.4555236864120995
