item_index,sentence_frame,image_word,final_word,condition,sentence,p1,p2,p3,p4,p5,top_one_token,max_probability,total_probability_mass,overall_argmax_token
0,She needed to put everything in the,library,library,congruent,She needed to put everything in the library.,3.306195139884949e-08,1.019798219203949e-07,1.5944242477416992e-06,0.09521484375,0.90625,5,0.90625,1.0,5
0,She needed to put everything in the,refrigerator,refrigerator,congruent,She needed to put everything in the refrigerator.,2.2351741790771484e-07,1.4603137969970703e-06,3.7670135498046875e-05,0.94140625,0.06005859375,4,0.94140625,1.0,4
0,She needed to put everything in the,library,refrigerator,incongruent,She needed to put everything in the refrigerator.,0.98046875,0.0203857421875,5.030632019042969e-05,1.341104507446289e-06,3.6507844924926758e-06,1,0.98046875,1.0,1
0,She needed to put everything in the,refrigerator,library,incongruent,She needed to put everything in the library.,0.96875,0.029296875,1.2636184692382812e-05,3.371387720108032e-07,4.880130290985107e-07,1,0.96875,1.0,1
1,"Hearing the news, he could not hide his",disappointment,disappointment,congruent,"Hearing the news, he could not hide his disappointment.",3.075599670410156e-05,0.01239013671875,0.984375,0.00115203857421875,0.0002918243408203125,3,0.984375,1.0,3
1,"Hearing the news, he could not hide his",delight,delight,congruent,"Hearing the news, he could not hide his delight.",3.213062882423401e-08,3.213062882423401e-08,1.6391277313232422e-07,2.1457672119140625e-05,1.0,5,1.0,1.0,5
1,"Hearing the news, he could not hide his",disappointment,delight,incongruent,"Hearing the news, he could not hide his delight.",0.98828125,0.010986328125,1.1324882507324219e-05,6.407499313354492e-07,2.2351741790771484e-06,1,0.98828125,1.0,1
1,"Hearing the news, he could not hide his",delight,disappointment,incongruent,"Hearing the news, he could not hide his disappointment.",0.953125,0.04736328125,6.645917892456055e-06,4.805624485015869e-07,2.4437904357910156e-06,1,0.953125,1.0,1
2,She was glad she wore her,overcoat,overcoat,congruent,She was glad she wore her overcoat.,7.404014468193054e-08,2.2817403078079224e-07,5.8710575103759766e-06,0.0419921875,0.95703125,5,0.95703125,1.0,5
2,She was glad she wore her,sandals,sandals,congruent,She was glad she wore her sandals.,1.2980308383703232e-08,1.2293457984924316e-07,6.735324859619141e-06,0.8515625,0.1484375,4,0.8515625,1.0,4
2,She was glad she wore her,overcoat,sandals,incongruent,She was glad she wore her sandals.,1.0,0.00150299072265625,6.48200511932373e-07,4.1443854570388794e-08,1.4435499906539917e-07,1,1.0,1.0,1
2,She was glad she wore her,sandals,overcoat,incongruent,She was glad she wore her overcoat.,0.9921875,0.00970458984375,4.172325134277344e-06,2.682209014892578e-07,8.23289155960083e-07,1,0.9921875,1.0,1
3,She spent months preparing for the,marathon,marathon,congruent,She spent months preparing for the marathon.,1.1222437024116516e-07,1.4435499906539917e-07,2.905726432800293e-06,0.000804901123046875,1.0,5,1.0,1.0,5
3,She spent months preparing for the,exam,exam,congruent,She spent months preparing for the exam.,1.2665987014770508e-07,3.427267074584961e-07,1.2874603271484375e-05,0.00860595703125,0.9921875,5,0.9921875,1.0,5
3,She spent months preparing for the,marathon,exam,incongruent,She spent months preparing for the exam.,8.249282836914062e-05,0.029296875,0.96875,0.0002880096435546875,0.0003261566162109375,3,0.96875,1.0,3
3,She spent months preparing for the,exam,marathon,incongruent,She spent months preparing for the marathon.,0.002777099609375,0.9921875,0.005889892578125,5.7697296142578125e-05,6.532669067382812e-05,2,0.9921875,1.0,2
4,She handed me the,menu,menu,congruent,She handed me the menu.,1.8440186977386475e-07,6.109476089477539e-06,0.000202178955078125,0.99609375,0.004058837890625,4,0.99609375,1.0,4
4,She handed me the,prescription,prescription,congruent,She handed me the prescription.,1.103617250919342e-07,5.62518835067749e-07,1.2755393981933594e-05,0.0179443359375,0.98046875,5,0.98046875,1.0,5
4,She handed me the,menu,prescription,incongruent,She handed me the prescription.,0.77734375,0.22265625,0.00022983551025390625,3.2782554626464844e-06,6.139278411865234e-06,1,0.77734375,1.0,1
4,She handed me the,prescription,menu,incongruent,She handed me the menu.,0.010986328125,0.98828125,0.0003757476806640625,1.0013580322265625e-05,1.4543533325195312e-05,2,0.98828125,1.0,2
