item_index,sentence_frame,image_word,final_word,condition,sentence,p1,p2,p3,p4,p5,top_one_token,max_probability,total_probability_mass,overall_argmax_token
0,She needed to put everything in the,library,library,congruent,She needed to put everything in the library.,1.7848833522293717e-11,1.8189894035458565e-09,9.424984455108643e-07,1.0,0.0001583099365234375,4,1.0,1.0,4
0,She needed to put everything in the,refrigerator,refrigerator,congruent,She needed to put everything in the refrigerator.,6.838973831690964e-14,7.901235221652314e-12,1.1175870895385742e-08,0.94140625,0.06005859375,4,0.94140625,1.0,4
0,She needed to put everything in the,library,refrigerator,incongruent,She needed to put everything in the refrigerator.,1.0,0.00012302398681640625,1.1874362826347351e-08,3.3905962482094765e-09,6.693881005048752e-10,1,1.0,1.0,1
0,She needed to put everything in the,refrigerator,library,incongruent,She needed to put everything in the library.,1.0,7.486343383789062e-05,3.841705620288849e-09,1.2514647096395493e-09,2.7830537874251604e-10,1,1.0,1.0,1
1,"Hearing the news, he could not hide his",disappointment,disappointment,congruent,"Hearing the news, he could not hide his disappointment.",9.549694368615746e-12,1.4435499906539917e-07,0.00020313262939453125,1.0,7.729977369308472e-08,4,1.0,1.0,4
1,"Hearing the news, he could not hide his",delight,delight,congruent,"Hearing the news, he could not hide his delight.",1.5560885913146194e-12,3.342393029015511e-11,1.4915713109076023e-10,2.905726432800293e-06,1.0,5,1.0,1.0,5
1,"Hearing the news, he could not hide his",disappointment,delight,incongruent,"Hearing the news, he could not hide his delight.",0.0179443359375,0.98046875,1.4156103134155273e-07,5.784386303275824e-10,9.379164112033322e-12,2,0.98046875,1.0,2
1,"Hearing the news, he could not hide his",delight,disappointment,incongruent,"Hearing the news, he could not hide his disappointment.",2.1457672119140625e-05,1.0,3.0547380447387695e-07,2.514570951461792e-08,3.583409124985337e-10,2,1.0,1.0,2
2,She was glad she wore her,overcoat,overcoat,congruent,She was glad she wore her overcoat.,8.846257060213247e-13,1.3869794202037156e-11,2.9831426218152046e-09,0.003173828125,0.99609375,5,0.99609375,1.0,5
2,She was glad she wore her,sandals,sandals,congruent,She was glad she wore her sandals.,4.192202140984591e-13,5.4797055781818926e-11,2.5029294192790985e-08,1.0,0.00193023681640625,4,1.0,1.0,4
2,She was glad she wore her,overcoat,sandals,incongruent,She was glad she wore her sandals.,1.0,1.3709068298339844e-06,1.418811734765768e-09,5.893525667488575e-10,2.455635694786906e-10,1,1.0,1.0,1
2,She was glad she wore her,sandals,overcoat,incongruent,She was glad she wore her overcoat.,1.0,1.3709068298339844e-06,6.693881005048752e-10,2.7830537874251604e-10,2.7830537874251604e-10,1,1.0,1.0,1
3,She spent months preparing for the,marathon,marathon,congruent,She spent months preparing for the marathon.,2.6756374893466273e-14,1.0018652574217413e-12,2.7830537874251604e-10,0.004058837890625,0.99609375,5,0.99609375,1.0,5
3,She spent months preparing for the,exam,exam,congruent,She spent months preparing for the exam.,3.609557097661309e-12,1.0550138540565968e-10,3.306195139884949e-08,0.62109375,0.376953125,4,0.62109375,1.0,4
3,She spent months preparing for the,marathon,exam,incongruent,She spent months preparing for the exam.,0.73046875,0.26953125,1.0058283805847168e-06,4.400499165058136e-08,2.1973391994833946e-09,1,0.73046875,1.0,1
3,She spent months preparing for the,exam,marathon,incongruent,She spent months preparing for the marathon.,1.0,0.0001583099365234375,2.8405338525772095e-08,5.587935447692871e-09,5.20230969414115e-10,1,1.0,1.0,1
4,She handed me the,menu,menu,congruent,She handed me the menu.,6.093614501878619e-11,3.7834979593753815e-09,1.1846423149108887e-06,0.98046875,0.0179443359375,4,0.98046875,1.0,4
4,She handed me the,prescription,prescription,congruent,She handed me the prescription.,4.803268893738277e-12,9.049472282640636e-11,3.4051481634378433e-09,8.487701416015625e-05,1.0,5,1.0,1.0,5
4,She handed me the,menu,prescription,incongruent,She handed me the prescription.,7.486343383789062e-05,1.0,3.528594970703125e-05,1.3709068298339844e-06,1.3445969671010971e-08,2,1.0,1.0,2
4,She handed me the,prescription,menu,incongruent,She handed me the menu.,0.02294921875,0.9765625,1.043081283569336e-06,3.14321368932724e-08,6.548361852765083e-10,2,0.9765625,1.0,2
