item_index,image_word,condition,rating,max_probability,top_one_token,p1,p2,p3,p4,p5,total_probability_mass
0,library,congruent,4.03125,0.96875,4,1.0943040251731873e-07,8.083879947662354e-07,2.086162567138672e-05,0.96875,0.029296875,1.0
0,refrigerator,congruent,4.125,0.87890625,4,1.2069940567016602e-06,4.76837158203125e-06,5.125999450683594e-05,0.87890625,0.119140625,1.0
0,library,incongruent,1.9765625,0.97265625,2,0.02294921875,0.97265625,0.002410888671875,2.682209014892578e-05,3.457069396972656e-05,1.0
0,refrigerator,incongruent,1.0,1.0,1,1.0,5.14984130859375e-05,7.867813110351562e-06,1.8533319234848022e-07,8.307397365570068e-07,1.0
1,delight,congruent,5.0,1.0,5,6.007030606269836e-08,3.213062882423401e-08,1.6391277313232422e-07,3.725290298461914e-06,1.0,1.0
1,disappointment,congruent,2.953125,0.953125,3,0.00052642822265625,0.04736328125,0.953125,0.000247955322265625,5.555152893066406e-05,1.0
1,delight,incongruent,1.90625,0.90234375,2,0.09521484375,0.90234375,0.00106048583984375,8.106231689453125e-06,3.814697265625e-06,1.0
1,disappointment,incongruent,1.0,1.0,1,1.0,7.486343383789062e-05,4.231929779052734e-06,1.2759119272232056e-07,5.029141902923584e-07,1.0
2,overcoat,congruent,5.0,1.0,5,3.9301812648773193e-07,9.424984455108643e-07,1.895427703857422e-05,0.00020313262939453125,1.0,1.0
2,sandals,congruent,5.0,1.0,5,2.7008354663848877e-07,2.1047890186309814e-07,1.3709068298339844e-06,0.00012302398681640625,1.0,1.0
2,overcoat,incongruent,1.0,1.0,1,1.0,1.0132789611816406e-05,5.029141902923584e-07,1.7229467630386353e-08,4.1443854570388794e-08,1.0
2,sandals,incongruent,1.0,1.0,1,1.0,1.0132789611816406e-05,7.338821887969971e-07,4.6798959374427795e-08,3.0547380447387695e-07,1.0
3,exam,congruent,4.0,0.984375,4,3.248453140258789e-06,5.334615707397461e-06,8.344650268554688e-05,0.984375,0.0140380859375,1.0
3,marathon,congruent,4.71875,0.90234375,5,0.02734375,0.021240234375,0.044921875,0.00286865234375,0.90234375,1.0
3,exam,incongruent,1.0,1.0,1,1.0,0.0001087188720703125,2.1457672119140625e-05,5.699694156646729e-07,2.2649765014648438e-06,1.0
3,marathon,incongruent,1.0,1.0,1,1.0,0.0003795623779296875,6.580352783203125e-05,6.48200511932373e-07,2.562999725341797e-06,1.0
4,menu,congruent,4.0,0.99609375,4,8.307397365570068e-07,3.7103891372680664e-06,2.1338462829589844e-05,0.99609375,0.002471923828125,1.0
4,prescription,congruent,5.0,0.984375,5,1.5348196029663086e-06,3.680586814880371e-06,3.4809112548828125e-05,0.0140380859375,0.984375,1.0
4,menu,incongruent,1.6796875,0.6796875,2,0.3203125,0.6796875,0.00079345703125,7.808208465576172e-06,1.2814998626708984e-05,1.0
4,prescription,incongruent,4.125,0.87890625,4,6.580352783203125e-05,0.000179290771484375,0.00080108642578125,0.87890625,0.119140625,1.0
5,distress,congruent,5.0,1.0,5,2.1457672119140625e-05,1.6689300537109375e-05,0.000431060791015625,5.817413330078125e-05,1.0,1.0
5,tranquility,congruent,5.0,1.0,5,6.007030606269836e-08,1.6391277313232422e-07,8.307397365570068e-07,2.4318695068359375e-05,1.0,1.0
5,distress,incongruent,1.0,1.0,1,1.0,4.00543212890625e-05,2.2649765014648438e-06,5.3085386753082275e-08,1.4435499906539917e-07,1.0
